Filename,Generation,BestReward,MeanReward,EliteMean,AvgSigma,MinSigma,MaxSigma,CollapsedPct,ResourceScore,Turn_resDx,Turn_resDy,Turn_resVis,Thrust_resDx,Thrust_resDy,Thrust_resVis,Sense_resVis,Turn_wallMag,Thrust_wallMag,Turn_chi,Thrust_chi
2adapslime-policy-gen10.json,10,32.4614,-109.6337,-76.8519,0.015365,0.010000,0.092930,56.25,0.015813,-0.059174,-0.000653,0.141146,0.001763,-0.017474,-0.073108,0.219555,-0.014016,0.022461,0.035298,-0.011391
2adapslime-policy-gen20.json,20,32.4614,-73.0580,-52.9837,0.010828,0.010000,0.015818,68.75,0.015813,-0.059174,-0.000653,0.141146,0.001763,-0.017474,-0.073108,0.219555,-0.014016,0.022461,0.035298,-0.011391
2adapslime-policy-gen30.json,30,118.6554,-123.1122,-74.1965,0.011308,0.010000,0.019306,58.33,0.033385,-0.032315,-0.003776,0.114048,0.055274,-0.075559,-0.086712,0.173773,-0.022704,0.034309,0.015905,0.000074
2adapslime-policy-gen40.json,40,118.6554,-81.5655,-35.0900,0.012289,0.010000,0.033511,54.17,0.033385,-0.032315,-0.003776,0.114048,0.055274,-0.075559,-0.086712,0.173773,-0.022704,0.034309,0.015905,0.000074
2adapslime-policy-gen50.json,50,118.6554,-105.9818,-44.7843,0.011788,0.010000,0.022144,58.33,0.033385,-0.032315,-0.003776,0.114048,0.055274,-0.075559,-0.086712,0.173773,-0.022704,0.034309,0.015905,0.000074
