Filename,Generation,BestReward,MeanReward,EliteMean,AvgSigma,MinSigma,MaxSigma,CollapsedPct,ResourceScore,Turn_resDx,Turn_resDy,Turn_resVis,Thrust_resDx,Thrust_resDy,Thrust_resVis,Sense_resVis,Turn_wallMag,Thrust_wallMag,Turn_chi,Thrust_chi
slime-policy-gen6.json,6,11.3817,-47.5809,-28.6437,0.029535,0.010000,0.123588,25.00,0.073064,-0.007654,-0.176164,0.068463,-0.056981,-0.124519,-0.050668,0.032894,-0.030500,-0.048589,0.010792,-0.018301
slime-policy-gen8.json,8,-24.4675,-245.2129,-109.6307,0.036983,0.010000,0.373224,25.00,0.056407,-0.079834,0.029182,-0.114615,0.057940,-0.115080,-0.146133,0.002394,-0.009174,0.076414,-0.016968,-0.021220
slime-policy-gen20.json,20,22.1800,-60.2000,-38.6500,0.010880,0.010000,0.019419,64.58,0.016600,0.031495,-0.000790,-0.035638,0.026099,-0.024617,-0.009850,0.201217,0.110244,0.183585,-0.025213,0.077226
