Filename,Generation,BestReward,MeanReward,EliteMean,AvgSigma,MinSigma,MaxSigma,CollapsedPct,ResourceScore,Turn_resDx,Turn_resDy,Turn_resVis,Thrust_resDx,Thrust_resDy,Thrust_resVis,Sense_resVis,Turn_wallMag,Thrust_wallMag,Turn_chi,Thrust_chi
gen9Adap-gen10.json,10,1518.4726,692.1992,1146.0185,0.017503,0.010000,0.135984,39.58,0.069139,-0.054743,0.122315,0.002740,-0.071630,0.097005,-0.209214,-0.013066,-0.057438,-0.028836,0.191617,0.019264
gen9Adap-gen20.json,20,1518.4726,844.2314,1232.8459,0.011539,0.010000,0.022017,58.33,0.069139,-0.054743,0.122315,0.002740,-0.071630,0.097005,-0.209214,-0.013066,-0.057438,-0.028836,0.191617,0.019264
gen9Adap-gen30.json,30,1518.4726,650.2707,1129.2643,0.011098,0.010000,0.019397,56.25,0.069139,-0.054743,0.122315,0.002740,-0.071630,0.097005,-0.209214,-0.013066,-0.057438,-0.028836,0.191617,0.019264
gen9Adap-gen40.json,40,1518.4726,745.9161,1161.7078,0.012177,0.010000,0.031441,66.67,0.069139,-0.054743,0.122315,0.002740,-0.071630,0.097005,-0.209214,-0.013066,-0.057438,-0.028836,0.191617,0.019264
gen9Adap-gen50.json,50,1538.2704,798.5054,1241.1613,0.012047,0.010000,0.056068,56.25,0.067323,-0.081900,0.157043,-0.024696,-0.045259,0.052415,-0.209840,0.039631,-0.016932,-0.006908,0.149369,0.063670
gen9Adap-gen60.json,60,1538.2704,1005.6973,1215.0219,0.011395,0.010000,0.022523,66.67,0.067323,-0.081900,0.157043,-0.024696,-0.045259,0.052415,-0.209840,0.039631,-0.016932,-0.006908,0.149369,0.063670
gen9Adap-gen80.json,80,1538.2704,836.3714,1285.4628,0.010851,0.010000,0.020684,70.83,0.067323,-0.081900,0.157043,-0.024696,-0.045259,0.052415,-0.209840,0.039631,-0.016932,-0.006908,0.149369,0.063670
